"Species","NicheBreadth","Occurrences","LogOccurrences","Bootstrap","Algorithm","PAStrategy","PANumber","MeanSuitability","SuitableArea","SchoenersD","ElevationCentroid","TSS"
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"RF","disk",5,160.937636554905,19.0434027777775,0.743876638931607,2193.99576280064,455
"Silene acaulis",0.650086721719821,4327,3.63618689519872,4,"MAXENT","disk",5,101.172389609689,128.725694444442,0.387705718983517,2304.31321098848,0
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GLM","random",1,212.147749035686,25.8263888888885,0.865213129228734,2172.90255460506,481
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GAM","random",1,223.408423920373,29.3854166666662,0.858757291014671,2210.29949566072,423
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"RF","random",1,104.056644997707,7.84548611111099,0.680623989356039,2304.27279031089,480
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"MAXENT","random",1,55.8897445580341,21.2829861111108,0.485606663233858,2495.55078461612,50
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GLM","random",3,124.556361772719,25.8715277777774,0.784418619467189,2271.34014509024,234
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GAM","random",3,134.33889892914,28.8697916666662,0.786923483372415,2320.41553598887,201
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"RF","random",3,50.4972621584442,3.25173611111106,0.55087258611276,2435.71055000174,475
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"MAXENT","random",3,48.1172146845413,19.5468749999997,0.484345345251692,2497.72046072272,50
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GLM","random",5,94.7694953200442,25.7395833333329,0.739195096136977,2324.73164318958,161
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GAM","random",5,102.193375232649,29.5034722222218,0.744520424353948,2375.35020159082,129
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"RF","random",5,35.5186793623392,2.1927083333333,0.483603802030225,2521.0191466482,490
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"MAXENT","random",5,47.6199390391929,19.8767361111108,0.49550403866185,2487.47704617727,50
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GLM","disk",1,277.400695924258,30.0034722222217,0.91104468035008,2078.37772732329,626
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GAM","disk",1,284.185916974618,33.2413194444439,0.911303389008282,2078.58819389396,566
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"RF","disk",1,237.413319666604,28.6493055555551,0.857478127324691,2110.2419395557,485
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"MAXENT","disk",1,140.256507431284,30.1597222222217,0.59716539740216,2245.43570122253,40
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GLM","disk",3,213.812801769482,31.5156249999995,0.855042646540976,2118.67657678206,343
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GAM","disk",3,216.000377633318,33.4079861111106,0.877870025354997,2127.71224890987,303
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"RF","disk",3,188.684109729453,22.8194444444441,0.790929739116471,2149.01447287424,465
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"MAXENT","disk",3,96.1937663528714,19.9027777777775,0.426819343890253,2328.56762936034,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GLM","disk",5,186.971340328541,30.2795138888884,0.812308494631442,2141.6286313736,272
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"GAM","disk",5,188.518423111159,33.321180555555,0.829567859269816,2150.29933801869,212
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"RF","disk",5,169.501254282092,20.9565972222219,0.76188693328099,2177.52692873238,449.5
"Silene acaulis",0.650086721719821,4327,3.63618689519872,5,"MAXENT","disk",5,99.1747902786394,14.5277777777775,0.379846658944623,2309.36543950878,20
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GLM","random",1,218.341083807623,28.3159722222218,0.874586887827557,2179.31061741597,450
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GAM","random",1,226.056186442964,27.4670138888885,0.858232778020416,2212.34136696489,463
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"RF","random",1,107.210287810536,8.12499999999987,0.696037271303907,2291.30014564962,480
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"MAXENT","random",1,45.2683084724732,24.6649305555552,0.37536100448679,2560.67462514122,10
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GLM","random",3,125.66695438729,25.0277777777774,0.790323970894082,2282.91764031518,244
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GAM","random",3,132.83176435681,29.7447916666662,0.781336081146671,2327.42741993456,189
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"RF","random",3,50.6514174736331,3.18055555555551,0.556080973667022,2438.1772712749,470
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"MAXENT","random",3,47.4018557980201,21.5937499999997,0.478948349359249,2491.02075024085,40
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GLM","random",5,95.1938337873924,24.2378472222218,0.744182849159261,2341.04484856144,171
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GAM","random",5,101.734011275052,29.3090277777773,0.741984877539139,2380.85267599696,129
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"RF","random",5,35.6946295147412,2.21701388888885,0.488343540396041,2520.45064523954,480
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"MAXENT","random",5,51.5943139211825,17.5989583333331,0.513512557057307,2493.0315863602,71
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GLM","disk",1,269.772556847301,33.5815972222217,0.916377199839952,2120.1077566787,475
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GAM","disk",1,276.027378415558,34.3819444444439,0.909142875027422,2117.19635121614,505
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"RF","disk",1,230.794891160683,28.569444444444,0.847013508495969,2146.73625868502,460
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"MAXENT","disk",1,144.82015213228,32.727430555555,0.627080701018379,2229.4254501955,60
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GLM","disk",3,203.459215601651,31.9913194444439,0.854449958789687,2167.44263479681,283
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GAM","disk",3,207.856175653441,34.8350694444439,0.867970752049645,2168.9563280608,253
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"RF","disk",3,177.450138915113,20.7013888888886,0.776159271087247,2196.00665581432,470
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"MAXENT","disk",3,99.5636986486122,15.6458333333331,0.39775859926083,2353.26669822886,20
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GLM","disk",5,175.86589971138,32.227430555555,0.803536158273391,2192.46934347606,192
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"GAM","disk",5,178.166792544439,35.3506944444439,0.819706478908262,2199.05882037235,161
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"RF","disk",5,160.098616243627,18.7222222222219,0.743473775084465,2215.76691142675,460
"Silene acaulis",0.650086721719821,4327,3.63618689519872,6,"MAXENT","disk",5,102.946699754538,14.9305555555553,0.393088301888075,2277.37536783943,30
